,dataset,workload,query_index,index_name,index_params,time_s,distcomp,recall,target_recall
0,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",0,messi_apprx,,,0.0001360544217687,,
1,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",0,messi,,,0.1480374149659863,1.0,
2,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",1,messi_apprx,,,0.0356551020408163,,
3,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",1,messi,,,0.6182414965986395,1.0,
4,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",2,messi_apprx,,,0.0034020408163265,,
5,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",2,messi,,,0.1335197278911564,1.0,
6,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",3,messi_apprx,,,0.0143085034013605,,
7,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",3,messi,,,0.3846248299319728,1.0,
8,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",4,messi_apprx,,,0.0192006802721088,,
9,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",4,messi,,,0.4214914965986394,1.0,
10,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",5,messi_apprx,,,0.0145918367346938,,
11,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",5,messi,,,0.3439204081632653,1.0,
12,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",6,messi_apprx,,,0.0091496598639455,,
13,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",6,messi,,,0.0569261904761904,1.0,
14,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",7,messi_apprx,,,0.0002210884353741,,
15,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",7,messi,,,0.7126914965986394,1.0,
16,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",8,messi_apprx,,,0.0078401360544217,,
17,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",8,messi,,,0.4109414965986394,1.0,
18,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",9,messi_apprx,,,0.0101700680272108,,
19,fashion_mnist-euclidean-784-60K,"Annealing(rc, easy)",9,messi,,,0.334002380952381,1.0,
0,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",0,messi_apprx,,,0.0001360544217687,,
1,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",0,messi,,,0.1426380952380952,1.0,
2,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",1,messi_apprx,,,1.7006802721088435e-05,,
3,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",1,messi,,,0.6742248299319727,1.0,
4,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",2,messi_apprx,,,0.0034187074829931,,
5,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",2,messi,,,0.1367700680272109,1.0,
6,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",3,messi_apprx,,,0.0144085034013605,,
7,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",3,messi,,,0.3773676870748299,1.0,
8,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",4,messi_apprx,,,0.0192006802721088,,
9,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",4,messi,,,0.4201581632653061,1.0,
10,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",5,messi_apprx,,,0.0145918367346938,,
11,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",5,messi,,,0.3594329931972789,1.0,
12,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",6,messi_apprx,,,0.0091496598639455,,
13,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",6,messi,,,0.0553214285714285,1.0,
14,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",7,messi_apprx,,,0.003656462585034,,
15,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",7,messi,,,0.6289248299319727,1.0,
16,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",8,messi_apprx,,,0.0078401360544217,,
17,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",8,messi,,,0.4024748299319727,1.0,
18,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",9,messi_apprx,,,0.0078401360544217,,
19,fashion_mnist-euclidean-784-60K,"Annealing(rc, medium)",9,messi,,,0.3524,1.0,
0,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",0,messi_apprx,,,0.0001360544217687,,
1,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",0,messi,,,0.1321459183673469,1.0,
2,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",1,messi_apprx,,,3.401360544217687e-05,,
3,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",1,messi,,,0.6554414965986394,1.0,
4,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",2,messi_apprx,,,0.0034187074829931,,
5,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",2,messi,,,0.1358656462585034,1.0,
6,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",3,messi_apprx,,,0.0143918367346938,,
7,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",3,messi,,,0.3668693877551021,1.0,
8,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",4,messi_apprx,,,0.0192006802721088,,
9,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",4,messi,,,0.4309248299319727,1.0,
10,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",5,messi_apprx,,,0.0145918367346938,,
11,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",5,messi,,,0.3815397959183673,1.0,
12,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",6,messi_apprx,,,0.0091496598639455,,
13,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",6,messi,,,0.0526598639455782,1.0,
14,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",7,messi_apprx,,,0.003656462585034,,
15,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",7,messi,,,0.636158163265306,1.0,
16,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",8,messi_apprx,,,0.0078401360544217,,
17,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",8,messi,,,0.4014081632653061,1.0,
18,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",9,messi_apprx,,,0.0078401360544217,,
19,fashion_mnist-euclidean-784-60K,"Annealing(rc, hard)",9,messi,,,0.3456578231292517,1.0,
0,glove-angular-104-1183514,"Annealing(rc, easy)",0,messi_apprx,,,5.264635002855252e-05,,
1,glove-angular-104-1183514,"Annealing(rc, easy)",0,messi,,,1.153834324666271,1.0,
2,glove-angular-104-1183514,"Annealing(rc, easy)",1,messi_apprx,,,4.3871958357127096e-05,,
3,glove-angular-104-1183514,"Annealing(rc, easy)",1,messi,,,1.1538089764236643,1.0,
4,glove-angular-104-1183514,"Annealing(rc, easy)",2,messi_apprx,,,1.754878334285084e-05,,
5,glove-angular-104-1183514,"Annealing(rc, easy)",2,messi,,,1.153707583453239,1.0,
6,glove-angular-104-1183514,"Annealing(rc, easy)",3,messi_apprx,,,1.5598918526978522e-05,,
7,glove-angular-104-1183514,"Annealing(rc, easy)",3,messi,,,1.1538334797248508,1.0,
8,glove-angular-104-1183514,"Annealing(rc, easy)",4,messi_apprx,,,2.0473580566659314e-05,,
9,glove-angular-104-1183514,"Annealing(rc, easy)",4,messi,,,1.1538444639633134,1.0,
10,glove-angular-104-1183514,"Annealing(rc, easy)",5,messi_apprx,,,2.924797223808473e-05,,
11,glove-angular-104-1183514,"Annealing(rc, easy)",5,messi,,,1.1538453089047338,1.0,
12,glove-angular-104-1183514,"Annealing(rc, easy)",6,messi_apprx,,,1.754878334285084e-05,,
13,glove-angular-104-1183514,"Annealing(rc, easy)",6,messi,,,1.153846153846154,1.0,
14,glove-angular-104-1183514,"Annealing(rc, easy)",7,messi_apprx,,,2.339837779046779e-05,,
15,glove-angular-104-1183514,"Annealing(rc, easy)",7,messi,,,1.1536712509721705,1.0,
16,glove-angular-104-1183514,"Annealing(rc, easy)",8,messi_apprx,,,2.2423445382531632e-05,,
17,glove-angular-104-1183514,"Annealing(rc, easy)",8,messi,,,1.153778558532537,1.0,
18,glove-angular-104-1183514,"Annealing(rc, easy)",9,messi_apprx,,,9.749324079361575e-06,,
19,glove-angular-104-1183514,"Annealing(rc, easy)",9,messi,,,1.153846153846154,1.0,
0,glove-angular-104-1183514,"Annealing(rc, medium)",0,messi_apprx,,,1.8523715750787e-05,,
1,glove-angular-104-1183514,"Annealing(rc, medium)",0,messi,,,1.153846153846154,1.0,
2,glove-angular-104-1183514,"Annealing(rc, medium)",1,messi_apprx,,,9.749324079361575e-06,,
3,glove-angular-104-1183514,"Annealing(rc, medium)",1,messi,,,1.153846153846154,1.0,
4,glove-angular-104-1183514,"Annealing(rc, medium)",2,messi_apprx,,,3.3147701869829366e-05,,
5,glove-angular-104-1183514,"Annealing(rc, medium)",2,messi,,,1.153846153846154,1.0,
6,glove-angular-104-1183514,"Annealing(rc, medium)",3,messi_apprx,,,1.6573850934914683e-05,,
7,glove-angular-104-1183514,"Annealing(rc, medium)",3,messi,,,1.153846153846154,1.0,
8,glove-angular-104-1183514,"Annealing(rc, medium)",4,messi_apprx,,,3.509756668570168e-05,,
9,glove-angular-104-1183514,"Annealing(rc, medium)",4,messi,,,1.153846153846154,1.0,
10,glove-angular-104-1183514,"Annealing(rc, medium)",5,messi_apprx,,,5.362128243648868e-05,,
11,glove-angular-104-1183514,"Annealing(rc, medium)",5,messi,,,1.153846153846154,1.0,
12,glove-angular-104-1183514,"Annealing(rc, medium)",6,messi_apprx,,,3.1197837053957045e-05,,
13,glove-angular-104-1183514,"Annealing(rc, medium)",6,messi,,,1.1537227923988032,1.0,
14,glove-angular-104-1183514,"Annealing(rc, medium)",7,messi_apprx,,,1.5598918526978522e-05,,
